Food ID,Food Name,Claim Count
300,Pasta,1
307,Chicken,1
308,Soup,1
310,Rice,1
312,Fruits,1
315,Salad,1
317,Dairy,1
318,Pasta,1
319,Chicken,1
323,Dairy,1
324,Soup,1
325,Chicken,1
327,Dairy,1
329,Rice,1
330,Rice,1
331,Fish,1
332,Rice,1
334,Bread,1
338,Chicken,1
340,Fruits,1
342,Vegetables,1
349,Vegetables,1
352,Vegetables,1
355,Pasta,1
356,Fish,1
358,Fruits,1
359,Bread,1
364,Fish,1
365,Fruits,1
367,Vegetables,1
378,Soup,1
382,Salad,1
384,Fish,1
386,Salad,1
387,Rice,1
389,Vegetables,1
391,Bread,1
393,Bread,1
395,Vegetables,1
396,Dairy,1
397,Salad,1
399,Chicken,1
400,Rice,1
401,Soup,1
404,Salad,1
405,Bread,1
407,Chicken,1
408,Soup,1
412,Chicken,1
416,Soup,1
417,Soup,1
421,Dairy,1
424,Pasta,1
425,Chicken,1
426,Bread,1
433,Dairy,1
437,Chicken,1
441,Fruits,1
443,Chicken,1
447,Soup,1
448,Vegetables,1
453,Fish,1
456,Vegetables,1
458,Dairy,1
459,Rice,1
461,Pasta,1
462,Soup,1
464,Fish,1
467,Dairy,1
469,Vegetables,1
480,Pasta,1
481,Dairy,1
483,Vegetables,1
488,Fish,1
489,Fish,1
493,Fish,1
495,Pasta,1
498,Rice,1
499,Salad,1
500,Pasta,1
509,Dairy,1
510,Salad,1
512,Chicken,1
517,Dairy,1
518,Fruits,1
521,Vegetables,1
522,Rice,1
523,Salad,1
524,Soup,1
525,Soup,1
526,Rice,1
532,Bread,1
536,Rice,1
540,Soup,1
543,Fruits,1
545,Pasta,1
550,Rice,1
551,Chicken,1
553,Salad,1
555,Dairy,1
556,Fish,1
557,Vegetables,1
559,Salad,1
562,Dairy,1
563,Pasta,1
564,Fish,1
568,Fruits,1
570,Vegetables,1
571,Salad,1
573,Fish,1
577,Bread,1
580,Rice,1
582,Soup,1
585,Rice,1
586,Vegetables,1
590,Fruits,1
592,Rice,1
593,Soup,1
597,Dairy,1
598,Rice,1
601,Vegetables,1
603,Rice,1
608,Vegetables,1
610,Pasta,1
612,Vegetables,1
614,Salad,1
619,Pasta,1
625,Rice,1
627,Vegetables,1
629,Bread,1
634,Bread,1
635,Pasta,1
637,Chicken,1
639,Salad,1
641,Bread,1
643,Salad,1
644,Bread,1
647,Rice,1
648,Rice,1
650,Soup,1
651,Pasta,1
652,Fruits,1
654,Bread,1
655,Salad,1
660,Salad,1
662,Soup,1
664,Bread,1
665,Pasta,1
668,Salad,1
669,Vegetables,1
671,Salad,1
672,Bread,1
675,Soup,1
676,Soup,1
677,Dairy,1
680,Dairy,1
681,Bread,1
685,Rice,1
686,Salad,1
687,Pasta,1
689,Pasta,1
692,Bread,1
694,Bread,1
697,Chicken,1
699,Salad,1
701,Salad,1
703,Salad,1
708,Rice,1
713,Fish,1
714,Pasta,1
716,Dairy,1
717,Salad,1
720,Dairy,1
721,Vegetables,1
722,Soup,1
723,Pasta,1
725,Soup,1
727,Chicken,1
728,Dairy,1
731,Fruits,1
732,Soup,1
733,Pasta,1
734,Vegetables,1
735,Fish,1
738,Fruits,1
739,Chicken,1
741,Fish,1
746,Bread,1
747,Dairy,1
748,Soup,1
749,Salad,1
751,Chicken,1
755,Soup,1
756,Bread,1
757,Dairy,1
763,Fish,1
764,Vegetables,1
766,Chicken,1
767,Salad,1
769,Chicken,1
775,Pasta,1
777,Fruits,1
784,Bread,1
787,Fish,1
788,Fish,1
790,Chicken,1
792,Chicken,1
794,Fruits,1
795,Dairy,1
799,Chicken,1
800,Dairy,1
804,Fruits,1
805,Chicken,1
810,Bread,1
811,Salad,1
818,Fish,1
821,Chicken,1
823,Chicken,1
824,Bread,1
825,Salad,1
829,Dairy,1
833,Fruits,1
840,Dairy,1
849,Pasta,1
852,Vegetables,1
854,Fish,1
862,Dairy,1
864,Soup,1
865,Fish,1
873,Rice,1
875,Bread,1
888,Salad,1
890,Chicken,1
891,Chicken,1
895,Pasta,1
897,Chicken,1
898,Fish,1
900,Dairy,1
901,Vegetables,1
903,Rice,1
905,Bread,1
910,Salad,1
916,Rice,1
918,Dairy,1
919,Soup,1
922,Soup,1
928,Bread,1
930,Chicken,1
931,Vegetables,1
933,Dairy,1
934,Salad,1
938,Vegetables,1
939,Rice,1
943,Bread,1
946,Vegetables,1
954,Rice,1
955,Soup,1
959,Pasta,1
961,Soup,1
967,Fruits,1
968,Rice,1
970,Fruits,1
971,Fish,1
972,Vegetables,1
979,Pasta,1
980,Chicken,1
985,Bread,1
988,Soup,1
989,Bread,1
990,Pasta,1
992,Salad,1
995,Rice,1
998,Fruits,1
999,Pasta,1
